B_cell,CD14+_Monocyte,CD4+_T-cell,CD8+_T-cell,Dendritic_cell,FCGR3A+_Monocyte,HEK293T_cell,Megakaryocyte,NK_cell
AFF3,S100A8,INPP4B,CCL5,FCER1A,LST1,ADGRL3,CMTM5,GNLY
AC096579.15,S100A9,LEF1,GNLY,HLA-DQB1,TCF7L2,RP5-1024N4.2,PDZK1IP1,NKG7
BANK1,AC109326.1,CAMK4,NKG7,CLEC10A,SAT1,RP11-665G4.1,SDPR,GZMB
RALGPS2,S100A12,SERINC5,KLRB1,NAPSB,AIF1,SLIT2,AC147651.3,KLRD1
IGHM,TYROBP,PRKCA,A2M,HLA-DQA2,MS4A6E,CKB,PPBP,KLRF1
ARHGAP24,TEX14,TSHZ2,IL32,CD1C,LYN,BEX3,ACRBP,CCL4
IGLC2,FCN1,BCL11B,GZMA,FLT3,FCER1G,POLDIP3,GP9,SPON2
OSBPL10,CST3,MAML2,GZMH,XXbac-BPG181M17.5,COTL1,HSPA1A,PTCRA,PRF1
CD74,VCAN,IL7R,TGFBR3,HLA-DQA1,FCGR3A,SNRPD1,HBG1,CST7
IGLC3,PLXDC2,NELL2,KLRD1,HLA-DRB6,SLC8A1,HES4,TREML1,FGFBP2
EBF1,FTL,ITK,CST7,PLD4,MTSS1,XIST,SMIM5,GZMA
RP11-358M11.2,S100A6,LTB,PZP,LGALS2,FTL,TXN,PF4,KLRB1
ADAM28,LGALS1,TCF7,AC015849.2,HLA-DPA1,TBXAS1,H2AFZ,PTGS1,TGFBR3
BCL11A,AC007192.4,PDE3B,KLRC4-KLRK1,HLA-DRB1,LINC01272,HSP90AA1,PF4V1,CD247
PAX5,LST1,MLLT3,TRGC2,CSF2RA.1,AC007192.4,ENO1,ABO,CCL5
GNG7,FOS,ANK3,SAMD3,HLA-DMB,IFITM3,NEBL,SELP,PTPN12
FCRL1,CTSS,RCAN3,PPP2R5C,CIITA,CST3,HIST1H4C,RGS18,RAP1GAP2
BACH2,CLEC7A,BCL2,SYNE2,HLA-DPB1,WARS,BOLA2B,TAL1,MCTP2
MEF2C,IL1B,RP11-5N23.2,MYBL1,HLA-DRB5,PECAM1,UCHL1,HIST1H2AE,AC015849.2
HLA-DRA,PSAP,THEMIS,HCST,CD86,PSAP,EIF5A,5-Sep,CLIC3
FCHSD2,AIF1,PLCL1,CTSW,RTN1,HCK,MT-RNR1,VSIG2,HOPX
