Cell type,Symbol
B_cell,AFF3
B_cell,AC096579.15
B_cell,BANK1
B_cell,RALGPS2
B_cell,IGHM
B_cell,ARHGAP24
B_cell,IGLC2
B_cell,OSBPL10
B_cell,CD74
B_cell,IGLC3
B_cell,EBF1
B_cell,RP11-358M11.2
B_cell,ADAM28
B_cell,BCL11A
B_cell,PAX5
B_cell,GNG7
B_cell,FCRL1
B_cell,BACH2
B_cell,MEF2C
B_cell,HLA-DRA
B_cell,FCHSD2
B_cell,TPD52
B_cell,MS4A1
B_cell,PLCG2
B_cell,CD79A
B_cell,STRBP
B_cell,SIPA1L3
B_cell,FAM129C
B_cell,PRKCE
B_cell,HLA-DPB1
B_cell,CD79B
B_cell,TNFRSF13C
B_cell,IGLL5
B_cell,TCL1A
B_cell,PLEKHG1
B_cell,HLA-DQA1
B_cell,PRKCB
B_cell,HVCN1
B_cell,MTSS1
B_cell,COL19A1
B_cell,CDK14
B_cell,IGHD
B_cell,ZCCHC7
B_cell,SEL1L3
B_cell,ITPR1
B_cell,BLK
B_cell,ADAM19
B_cell,KHDRBS2
B_cell,ADK
B_cell,WDFY4
B_cell,C16orf74
B_cell,IL4R
B_cell,SWAP70
B_cell,SETBP1
B_cell,36951
B_cell,AUTS2
B_cell,LYN
B_cell,MGAT5
B_cell,HLA-DPA1
B_cell,CD37
B_cell,UVRAG
B_cell,HDAC9
B_cell,CTD-2215E18.1
B_cell,KIAA0226L
B_cell,STAP1
B_cell,NCOA3
B_cell,CAMK1D
B_cell,COBLL1
B_cell,CD22
B_cell,RP11-659G9.3
B_cell,RP11-693J15.4
B_cell,HLA-DRB1
B_cell,HLA-DQB1
B_cell,CPED1
B_cell,VPREB3
B_cell,PLEKHA2
B_cell,FCRL2
B_cell,CNR2
B_cell,TMEM156
B_cell,FGD2
B_cell,AC079767.4
B_cell,JCHAIN
B_cell,SP140
B_cell,BLNK
B_cell,KMO
B_cell,P2RX5-TAX1BP3
B_cell,IRF8
B_cell,BTLA
B_cell,FCER2
B_cell,FCRL3
B_cell,CD52
B_cell,CH17-84K15.2
B_cell,ST6GAL1
B_cell,CAMK2D
B_cell,TRAK1
B_cell,CTD-2509G16.5
B_cell,SNX29
B_cell,RAB30
B_cell,PPP3CA
B_cell,CIITA
CD14+_Monocyte,S100A8
CD14+_Monocyte,S100A9
CD14+_Monocyte,AC109326.1
CD14+_Monocyte,S100A12
CD14+_Monocyte,TYROBP
CD14+_Monocyte,TEX14
CD14+_Monocyte,FCN1
CD14+_Monocyte,CST3
CD14+_Monocyte,VCAN
CD14+_Monocyte,PLXDC2
CD14+_Monocyte,FTL
CD14+_Monocyte,S100A6
CD14+_Monocyte,LGALS1
CD14+_Monocyte,AC007192.4
CD14+_Monocyte,LST1
CD14+_Monocyte,FOS
CD14+_Monocyte,CTSS
CD14+_Monocyte,CLEC7A
CD14+_Monocyte,IL1B
CD14+_Monocyte,PSAP
CD14+_Monocyte,AIF1
CD14+_Monocyte,ANXA1
CD14+_Monocyte,LYZ
CD14+_Monocyte,RBM47
CD14+_Monocyte,FCER1G
CD14+_Monocyte,GPX1
CD14+_Monocyte,S100A11
CD14+_Monocyte,DMXL2
CD14+_Monocyte,LGALS2
CD14+_Monocyte,MNDA
CD14+_Monocyte,NFKBIA
CD14+_Monocyte,NAMPT
CD14+_Monocyte,NEAT1
CD14+_Monocyte,SAT1
CD14+_Monocyte,CXCL8
CD14+_Monocyte,CSF3R
CD14+_Monocyte,S100A4
CD14+_Monocyte,WDR74
CD14+_Monocyte,PLAUR
CD14+_Monocyte,C10orf11
CD14+_Monocyte,CSTA
CD14+_Monocyte,AP1S2
CD14+_Monocyte,RP11-591N1.1
CD14+_Monocyte,CD14
CD14+_Monocyte,SRGN
CD14+_Monocyte,MS4A6A
CD14+_Monocyte,GABARAP
CD14+_Monocyte,HCK
CD14+_Monocyte,SLC8A1
CD14+_Monocyte,FOSB
CD14+_Monocyte,CTD-3252C9.4
CD14+_Monocyte,RP11-779O18.3
CD14+_Monocyte,KLF4
CD14+_Monocyte,CTA-384D8.28
CD14+_Monocyte,CTSB
CD14+_Monocyte,TSPO
CD14+_Monocyte,PID1
CD14+_Monocyte,VMP1
CD14+_Monocyte,AC007879.5
CD14+_Monocyte,ARHGAP26
CD14+_Monocyte,ZFP36
CD14+_Monocyte,GAB2
CD14+_Monocyte,COTL1
CD14+_Monocyte,CD36
CD14+_Monocyte,ZEB2
CD14+_Monocyte,HLA-DRA
CD14+_Monocyte,SCHLAP1
CD14+_Monocyte,CEBPD
CD14+_Monocyte,PTPRE
CD14+_Monocyte,STXBP2
CD14+_Monocyte,GRN
CD14+_Monocyte,RGS2
CD14+_Monocyte,CD83
CD14+_Monocyte,RP11-142G7.1
CD14+_Monocyte,TBXAS1
CD14+_Monocyte,DUSP1
CD14+_Monocyte,CFD
CD14+_Monocyte,NPC2
CD14+_Monocyte,CPVL
CD14+_Monocyte,NFKBIZ
